date,title,source,link,contents
2022.01.03.,"DGB금융, 계열사 CEO·MZ세대와 메타버스 시무식 개최",시장경제신문,http://www.meconomynews.com/news/articleView.html?idxno=61963,"메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
2022.01.03.,"DGB금융, 김태오 회장부터 CEO까지 메타버스 속으로",이코노믹리뷰,http://www.econovill.com/news/articleView.html?idxno=560931,"메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
2022.01.03.,"김태오 DGB금융 회장 ""ONE DGB 시너지 역량 강화”",핀포인트뉴스,http://www.pinpointnews.co.kr/view.php?ud=202201031742233019c642673384_45,"메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
2022.01.03.,"김태오 DGB금융 회장 “‘ONE TEAM, ONE DGB 시너지 역량 강화”",스마트에프엔,http://www.smartfn.co.kr/view.php?ud=20220103171422441247648fe0a_46,"메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
2022.01.03.,"DGB금융그룹, 메타버스 활용 이색 시무식…계열사 CEO와 MZ세대 직원들 소...",시사뉴스,https://www.sisa-news.com/news/article.html?no=185356,"메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
2022.01.03.,"DGB금융, 메타버스 시무식 눈길… 계열사 CEO 총출동",경북도민일보,http://www.hidomin.com/news/articleView.html?idxno=473028,"메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
2022.01.03.,"DGB금융 회장 김태오 신년사, “넷플릭스처럼 늘 꿈꾸고 도전해야”",비즈니스포스트,https://www.businesspost.co.kr/BP?command=article_view&num=267036,"메타버스 시무식에는 임성훈 DGB대구은행장과 홍원식 하이투자증권 대표이사, 김성한 DGB생명 대표이사, 서정동 DGB캐피탈 대표이사, 박정홍 하이자산운용 대표이사, 김윤국 DGB유페이 대표이사, 도만섭 DGB데이터시스템..."
2022.01.03.,"DGB금융그룹, 메타버스 시무식 개최",경상매일신문,http://www.ksmnews.co.kr/default/index_view_page.php?idx=363831&part_idx=291,"메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
2022.01.03.,"DGB금융, CEO-MZ세대 '메타버스 시무식'으로 소통 강화",신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1501542,"이날 시무식에는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭 DGB데이터시스템 대표..."
2022.01.05.,"대구시, 사람 중심 교통환경 조성…상반기 4차순환선 완공",쿠키뉴스,http://www.kukinews.com/newsView/kuk202201050165,승용차요일제 가입자가 자동차 운휴일에 대중교통을 이용할 경우 이용요금의 80%를 마일리지로 지급하고 적립된 인센티브는 지역화폐(행복페이) 또는 DGB유페이(대중교통충전권)로 전환 사용할 수 있는 제도다....
2022.01.05.,대구시 '대중교통 마일리지 제도' 눈길...1년 최대 10만원 적립,영남일보,https://www.yeongnam.com/web/view.php?key=20220105010000586,"적립된 마일리지는 지역 화폐(행복페이), DGB유페이(대중교통 충전권)로 전환되며, 3월부터 사용 할 수 있다.시민들의 반응은 긍정적이다. 박모(40)씨는 ""대중교통 이용 시 마일리지로 적립된다는 소식을 듣고 가입했다...."
2022.01.05.,"대구, 올해 친환경 대중교통 도입 확대",경북매일신문,http://www.kbmaeil.com/news/articleView.html?idxno=918411,"특히 승용차요일제 가입자가 자동차 운휴일에 대중교통을 이용할 경우 이용요금의 80％를 마일리지로 지급하고, 적립된 인센티브는 지역화폐(행복페이) 또는 DGB유페이(대중교통충전권)로 전환 사용할 수 있는..."
2022.01.05.,"대구시, 올해부터 교통환경 확 달라진다",서울경제TV,http://www.sentv.co.kr/news/view/608898,또는 DGB유페이(대중교통충전권)로 전환 사용할 수 있는 대중교통 마일리지제도를 전국 최초로 시행한다.  대구시는 상대적으로 교통인프라가 낙후된 서구의 균형발전과 서부권의 발전을 견인할 서대구역사(총사업비...
2022.01.05.,"대구시, 사람 중심 안전한 교통환경 조성",대구신문,https://www.idaegu.co.kr/news/articleView.html?idxno=368883,1월부터 승용차요일제 가입자가 자동차 운휴일에 대중교통을 이용할 경우 이용요금의 80%를 마일리지로 지급하고 적립된 인센티브는 지역화폐(행복페이) 또는 DGB유페이(대중교통충전권)로 전환 사용할 수 있는...
2022.01.05.,새해 새롭게 달라지는 대구 교통환경은?,경상매일신문,http://www.ksmnews.co.kr/default/index_view_page.php?idx=364066&part_idx=7,또는 DGB유페이(대중교통충전권)로 전환 사용할 수 있는 대중교통 마일리지제도를 전국 최초로 시행한다.◈수요자 중심의 광역교통망 구축▲서대구 고속철도역 개통시는 상대적으로 교통인프라가 낙후된 서구의...
2022.01.06.,"TBC)대구시, 대중교통 마일리지제 첫 시행",TBC대구방송,http://www.tbc.co.kr/tbc_news/n14_newsview.html?p_no=20220105162933AE01151,"날에 대중교통을 이용하면 이용요금의 80%를 마일리지로 적립해 주기로 했습니다. 적립된 마일리지는 '대구행복페이'나 대중교통 충전권인 'DGB유페이'로 전환해 사용할 수 있고, 1년에 최대 10만 마일리지까지 가능합니다."
2022.01.06.,"[더벨]DGB금융, 계열사 CEO 대거 교체 '혁신 택했다'",더벨,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202201041819226320105847,그룹 내 장수 CEO로 분류되는 서정동 DGB캐피탈 대표와 소근 DGB유페이 대표가 자리에서 물러날 예정이다. 특히 DGB캐피탈의 경우 외부 전문가 영입으로 가닥을 잡은 것으로 전해진다. 은행·증권·캐피탈·보험·자산운용...
2022.01.06.,"대구시 ""2022년 교통환경 이렇게 달라집니다""",일요신문,https://ilyo.co.kr/?ac=article_view&entry_id=420361,승용차요일제 가입자가 자동차 운휴일에 대중교통을 이용할 경우 이용요금의 80%를 마일리지로 지급하고 적립된 인센티브는 지역화폐 또는 DGB유페이로 전환 사용할 수 있는 대중교통 마일리지제도도 전국 최초로...
2022.01.07.,"대구시, 대중교통 마일리지제 첫 시행",KBS,https://news.kbs.co.kr/news/view.do?ncd=5366921&ref=A,"80%를 마일리지로 적립해주는 대중교통 마일리지제를 시행한다고 밝혔습니다. 적립된 마일리지는 지역 화폐인 대구행복페이나 DGB유페이로 전환해 사용할 수 있으며, 1년에 최대 10만 마일리지까지 적립이 가능합니다."
2022.01.08.,2022년 달라지는 '대구교통환경',더팩트,http://news.tf.co.kr/read/national/1911197.htm,또는 DGB유페이(대중교통충전권)로 전환 사용할 수 있는 대중교통 마일리지제도를 전국 최초로 시행한다. 3. 수요자 중심의 광역교통망 구축 ① 서대구 고속철도역 개통 대구시는 상대적으로 교통인프라가 낙후된...
2022.01.09.,"“환경도 지키고 돈도 아끼고”···대구, 전국 첫 ‘대중교통 마일리지제’...",경향신문,https://www.khan.co.kr/local/Daegu/article/202201091032001,적립된 인센티브는 지역화폐(행복페이)나 DGB유페이(대중교통충전권)로 사용할 수 있다. 1마일리지는 현금 1원에 해당한다. 예를 들어 지정일 출·퇴근 시 버스 및 지하철(성인 요금 1250원·적립 1000원)을 2회 이용한...
2022.01.09.,매주 하루 승용차 대신 대중교통 ‘10만원 생겼네’,경향신문,https://www.khan.co.kr/local/Daegu/article/202201092117005,적립된 인센티브는 지역화폐(행복페이)나 DGB유페이(대중교통충전권)로 사용할 수 있다. 1마일리지는 현금 1원에 해당한다. 예를 들어 지정일 출퇴근 시 버스 및 지하철(성인 요금 1250원·적립 1000원)을 2회 이용한 시민은...
