,date,title,source,contents,link
3574,2019.09.19.,"은행권, 모바일 간편 대출 마케팅 열전…소액대출 심사기준 다양",시사오늘,"DGB대구은행은 핀테크 전문기업 핀크와 손잡고 모바일 신용대출 신상품 'DGB-핀크 비상금대출' 출시, 판매한다고 18일 밝혔다. ⓒDGB대구은행 이에 지방은행인 DGB대구은행도 지난 18일 핀테크 전문기업인 핀크와 함께 'DGB...",http://www.sisaon.co.kr/news/articleView.html?idxno=101271
3575,2019.09.19.,"대구FC, 인천 상대 3연승 도전...4위 맹추격 나선다!",매일신문,특히 지난 5월 19일 DGB대구은행파크에서 열린 인천과의 경기에서 선제골을 터트려 30(득점)-30(도움) 달성에 성공하는 등 인천과의 경기에 강한 면모를 과시하고 있다. 수비역시 마찬가지. 조현우 골키퍼와 대구의...,https://news.imaeil.com/Sports/2019091914573631395
3576,2019.09.19.,혜택 늘려 고객이탈 막는다…통신+금융 결합 '윈윈 게임',매일일보,"이는 앞서 핀크와 DGB대구은행와 손잡고 연 최대 5%대 적금상품을 내놓은 SK텔레콤도 마찬가지 입장이다. SK텔레콤이 핀크, DGB대구은행과 '디지털금융 활성화 업무 제휴 협약'을 체결하고 고객에게 최대 5%의 혜택을...",http://www.m-i.kr/news/articleView.html?idxno=639413
3577,2019.09.19.,웰컴저축은행-LG유플러스 '맞손'...금융·통신 '합종연횡' 확산,전자신문,DGB대구은행과 SKT가 선보인 '티 하이파이브(T high5) 적금'의 경우 출시 4주 만에 4만명 가입을 달성했다. 이 상품 역시도 해당 통신사 고객에게 추가 금리를 얹혀주는 방식이다. 저축은행 역시 합종연횡이 없었던 것은...,http://www.etnews.com/20190919000137
3578,2019.09.19.,"[스포츠타임 현장]FA컵 결승 꿈 영그는 코레일, 대전 시티즌과 더비도 가능?",스포티비뉴스,"도시 재생의 성공으로 자리 잡은 성공한 DGB대구은행파크 등 사례 연구가 이뤄지고 있어 부지 활용 문제는 답보 상태다. 그래서 FA컵을 통한 인지 효과가 더 중요해졌다. 코레일 관계자는 ""4강에 오면서 꽤 많은 관심을...",http://www.spotvnews.co.kr/?mod=news&act=articleView&idxno=317432
3579,2019.09.19.,"LG U+, 최대 연 8% 적금 출시···1년 고금리 상품 일반화?",넥스트데일리,지난 5월 SK텔레콤이 DGB대구은행과 손잡고 최대 연 5% 금리의 ‘T high 5’ 적금을 출시한 지 4개월여 만이다. 이번 LG유플러스가 출시한 U+웰컴투에이트는 현재 통신 업계 제휴 적금 상품으로는 최고 금리 혜택을...,http://www.nextdaily.co.kr/news/article.html?id=20190919800015
3580,2019.09.19.,"대구 중구 고성동 4,000여세대 분양예정, 거대 침산권 도심확장중",한국경제,"대구 북구 침산동이 20여년간의 지속적인 재개발·재건축으로 칠성동·고성동까지 확장되는 가운데, 아이에스동서가 DGB대구은행파크 남쪽 고성동 1가 104-21번지 일원에 ‘대구역오페라W(1,088세대)’를 10월중...",https://www.hankyung.com/realestate/article/201909199544a
3581,2019.09.19.,경북도내 소기업·소상공인의 재기를 지원하기 위해 경북신용보증재단과 DGB대...,대구일보,경북도내 소기업과 소상공인의 재기를 지원하기 위해 경북신용보증재단과 DGB대구은행이 손을 잡았다. 경북신용보증재단은 최근 DGB대구은행과 소기업·소상공인 재기지원 업무협약식을 가졌다. 이번 협약은 부득이한...,http://www.idaegu.com/newsView/idg201909180099
3582,2019.09.19.,"문화·편의시설 모인 침산권, 고성·칠성동 확대",영남일보,최근 아이에스동서는 DGB대구은행파크 남쪽 고성동 1가 104-21 일원에 ‘대구역오페라W(1천88세대)’를 9월중 공급한다고 밝혔다. 지역 부동산업계의 한 관계자는 “고성동에 45층 규모의 ‘대구역오페라W’를 비롯한...,http://www.yeongnam.com/mnews/newsview.do?mode=newsView&newskey=20190919.010180734000001
3583,2019.09.19.,대구FC ‘중원 살림꾼’ 신창무가 돌아온다,영남일보,"신창무는 이날 새 보금자리인 DGB대구은행파크와 스카이 포레스트를 방문해 코칭스태프 및 대구 관계자들과 인사를 나눈 뒤 곧바로 팀 훈련에 합류, 선수들과 호흡을 맞췄다. 후반기 상위스플릿 및 4위권 진입을...",http://www.yeongnam.com/mnews/newsview.do?mode=newsView&newskey=20190919.010260811270001
3584,2019.09.19.,대구銀-핀테크 기업 ‘핀크’ 모바일 신용대출 상품 판매,영남일보,DGB대구은행(은행장 김태오)은 핀테크 전문기업 핀크(대표이사 권영탁)와 함께 모바일 신용대출 신상품 ‘DGB-핀크 비상금대출’을 판매한다. DGB-핀크 비상금대출은 핀크 앱에서 대출을 신청 및 약정하는 상품이다....,http://www.yeongnam.com/mnews/newsview.do?mode=newsView&newskey=20190919.010180733470001
3585,2019.09.19.,"경북신보-대구銀, 소기업·소상공인 재기 지원 MOU",영남일보,경북신용보증재단(이사장 박진우)과 DGB대구은행(은행장 김태오)은 17일 ‘소기업·소상공인 재기 지원 업무협약’을 맺었다. 이날 협약에 따라 경북신보는 사업실패를 경험한 소기업·소상공인들이 재기할 수 있도록...,https://www.yeongnam.com/web/view.php?key=20190919.010280730570001
3586,2019.09.18.,"[오늘경제] 핀크, DGB대구은행과 'DGB-핀크 비상금대출' 출시",오늘경제,"오늘경제, STARTUPTODAY ⓒ핀크 한 눈에 보는 오늘경제, 핀테크 전문 기업 핀크(Finnq)는 DGB대구은행과 함께 '핀크 비상금 대출' 서비스를 18일 출시했다. 핀크 비상금 대출 서비스는 상환 능력이 있어도 사회초년생이거나...",http://www.startuptoday.co.kr/news/articleView.html?idxno=30829
3587,2019.09.18.,DGB대구은행ㆍ핀크 ‘신상품’…365일 24시 모바일 비상금대출,경상매일신문,DGB대구은행은 핀테크 전문기업 핀크와 손잡고 모바일 신용대출 신상품 ‘DGB·핀크 비상금대출’ 출시·판매한다. 핀크 앱으로 신청 및 약정할 수 있는 ‘DGB·핀크 비상금대출’은 365일·24시간 휴대폰 본인 인증만으로...,http://www.ksmnews.co.kr/default/index_view_page.php?idx=263421&part_idx=291
3588,2019.09.18.,"전역 신창무 ""대구에 활력 불어넣을 것""",대구신문,지난 17일 1년 8개월간의 군복무를 마치고 대구에 복귀한 신창무는 새로운 보금자리인 DGB대구은행파크와 스카이 포레스트를 방문해 코칭스태프 및 대구 관계자와 인사를 나눈 뒤 곧바로 팀 훈련에 합류했다....,http://www.idaegu.co.kr/news/articleView.html?idxno=288459
3589,2019.09.18.,"DGB대구은행, 공인인증 필요없는 '대출상품' 출시",브레이크뉴스,DGB대구은행(은행장 김태오)은 공인인증서없이 지문인증으로 대출받을 수 있는 상품을 출시했다. DGB대구은행이 핀테크 전문기업 핀크(대표이사 권영탁)와 출시한 ‘DGB-핀크 비상금대출’은 핀크 앱으로 신청 및...,http://www.breaknews.com/679879
3590,2019.09.18.,소기업·소상공인 재기 지원 업무 협약식 가져,경북매일신문,경북신용보증재단은 지난 17일 DGB대구은행과 '소기업·소상공인 재기지원 업무협약식'&lt;사진&gt;을 체결했다고 18일 밝혔다. 이번 협약은 부득이한 경영악화로 사업실패를 경험한 소기업·소상공인들이 다시 한 번 사업할 수...,http://www.kbmaeil.com/news/articleView.html?idxno=826646
